bank_name,city,item_name,category,quantity,unit,received_date,shelf_life_days,expiration_date,days_left,avg_daily_demand,supply_status
Central California Food Bank,Fresno,Oranges,produce,361,lbs,2026-02-27,14,2026-03-13,0,79,surplus
San Francisco-Marin Food Bank,San Francisco,Canned corn,canned,231,cans,2026-03-05,730,2028-03-04,722,43,surplus
Second Harvest Food Bank of Orange County,Irvine,Butter,dairy,361,packs,2026-03-02,60,2026-05-01,49,77,surplus
Central California Food Bank,Fresno,Canned soup,canned,319,cans,2026-03-07,540,2027-08-29,534,49,surplus
San Francisco-Marin Food Bank,San Francisco,Canned tomatoes,canned,87,cans,2026-02-25,730,2028-02-25,714,25,surplus
Second Harvest of Silicon Valley,San Jose,Broccoli,produce,353,lbs,2026-02-22,7,2026-03-01,-12,50,surplus
Alameda County Community Food Bank,Oakland,Canned tomatoes,canned,347,cans,2026-02-20,730,2028-02-20,709,89,surplus
Feeding San Diego,San Diego,Canned green beans,canned,360,cans,2026-02-20,730,2028-02-20,709,36,surplus
Food Bank of Contra Costa and Solano,Concord,Egg cartons,dairy,300,cartons,2026-03-09,21,2026-03-30,17,67,surplus
Food Bank of Contra Costa and Solano,Concord,Canned black beans,canned,330,cans,2026-02-24,730,2028-02-24,713,54,surplus
Alameda County Community Food Bank,Oakland,Canned tuna,canned,119,cans,2026-03-08,730,2028-03-07,725,77,balanced
Alameda County Community Food Bank,Oakland,Potatoes,produce,172,lbs,2026-03-05,30,2026-04-04,22,95,balanced
Feeding San Diego,San Diego,Peanut butter,dry,363,jars,2026-02-18,365,2027-02-18,342,25,surplus
Sacramento Food Bank & Family Services,Sacramento,Frozen vegetables mix,protein,63,bags,2026-03-11,365,2027-03-11,363,26,balanced
Feeding San Diego,San Diego,Egg cartons,dairy,399,cartons,2026-02-23,21,2026-03-16,3,50,surplus
Sacramento Food Bank & Family Services,Sacramento,Onions,produce,194,lbs,2026-03-13,30,2026-04-12,30,71,balanced
San Francisco-Marin Food Bank,San Francisco,Cheese blocks,dairy,382,blocks,2026-02-22,30,2026-03-24,11,110,surplus
San Francisco-Marin Food Bank,San Francisco,Canned chickpeas,canned,319,cans,2026-02-21,730,2028-02-21,710,104,surplus
Sacramento Food Bank & Family Services,Sacramento,Spaghetti,dry,369,boxes,2026-03-02,730,2028-03-01,719,58,surplus
Feeding San Diego,San Diego,Oatmeal,dry,170,boxes,2026-03-12,365,2027-03-12,364,90,balanced
Second Harvest Food Bank of Orange County,Irvine,Canned black beans,canned,96,cans,2026-02-21,730,2028-02-21,710,82,balanced
Los Angeles Regional Food Bank,Los Angeles,Rice 5lb bag,dry,274,bags,2026-02-25,730,2028-02-25,714,118,balanced
Yolo Food Bank,Woodland,Lentils,dry,200,bags,2026-02-27,730,2028-02-27,716,25,surplus
Second Harvest Food Bank of Orange County,Irvine,Canned soup,canned,99,cans,2026-02-26,540,2027-08-20,525,30,surplus
Central California Food Bank,Fresno,Onions,produce,397,lbs,2026-02-17,30,2026-03-19,6,25,surplus
Yolo Food Bank,Woodland,Broccoli,produce,226,lbs,2026-03-06,7,2026-03-13,0,51,surplus
Food Bank of Contra Costa and Solano,Concord,Peanut butter,dry,234,jars,2026-02-27,365,2027-02-27,351,112,balanced
Central California Food Bank,Fresno,Canned salmon,canned,279,cans,2026-03-09,730,2028-03-08,726,58,surplus
Food Bank of Contra Costa and Solano,Concord,Rice 5lb bag,dry,108,bags,2026-03-07,730,2028-03-06,724,37,balanced
Feeding San Diego,San Diego,Brown rice,dry,16,bags,2026-03-13,365,2027-03-13,365,107,shortage
Second Harvest of Silicon Valley,San Jose,Ground turkey frozen,protein,256,packs,2026-03-04,180,2026-08-31,171,23,surplus
Food Bank of Contra Costa and Solano,Concord,Avocados,produce,346,units,2026-02-21,7,2026-02-28,-13,20,surplus
Second Harvest of Silicon Valley,San Jose,Rice 5lb bag,dry,232,bags,2026-03-05,730,2028-03-04,722,92,balanced
Sacramento Food Bank & Family Services,Sacramento,Bananas,produce,231,lbs,2026-02-17,7,2026-02-24,-17,56,surplus
Food Bank of Contra Costa and Solano,Concord,Cereal,dry,101,boxes,2026-03-05,180,2026-09-01,172,97,balanced
San Francisco-Marin Food Bank,San Francisco,Macaroni,dry,238,boxes,2026-02-20,730,2028-02-20,709,85,balanced
Second Harvest of Silicon Valley,San Jose,Chicken breast frozen,protein,253,packs,2026-02-25,180,2026-08-24,164,71,surplus
Sacramento Food Bank & Family Services,Sacramento,Peanut butter,dry,306,jars,2026-03-13,365,2027-03-13,365,87,surplus
Food Bank of Contra Costa and Solano,Concord,Frozen vegetables mix,protein,305,bags,2026-03-04,365,2027-03-04,356,58,surplus
Los Angeles Regional Food Bank,Los Angeles,Canned salmon,canned,155,cans,2026-02-22,730,2028-02-22,711,48,surplus
Feeding San Diego,San Diego,Lettuce,produce,33,heads,2026-03-04,10,2026-03-14,1,36,shortage
San Francisco-Marin Food Bank,San Francisco,Avocados,produce,103,units,2026-03-05,7,2026-03-12,-1,91,balanced
Sacramento Food Bank & Family Services,Sacramento,Canned beans,canned,39,cans,2026-02-21,730,2028-02-21,710,99,shortage
San Francisco-Marin Food Bank,San Francisco,Milk gallons,dairy,296,gallons,2026-02-22,10,2026-03-04,-9,36,surplus
Central California Food Bank,Fresno,Canned beans,canned,326,cans,2026-02-25,730,2028-02-25,714,61,surplus
Sacramento Food Bank & Family Services,Sacramento,Canned tomatoes,canned,97,cans,2026-03-11,730,2028-03-10,728,68,balanced
Sacramento Food Bank & Family Services,Sacramento,Bell peppers,produce,25,lbs,2026-02-18,10,2026-02-28,-13,29,shortage
Alameda County Community Food Bank,Oakland,Canned corn,canned,209,cans,2026-02-26,730,2028-02-26,715,48,surplus
Alameda County Community Food Bank,Oakland,Canned tuna,canned,379,cans,2026-03-05,730,2028-03-04,722,29,surplus
Yolo Food Bank,Woodland,Potatoes,produce,325,lbs,2026-02-16,30,2026-03-18,5,58,surplus
Yolo Food Bank,Woodland,Sugar,dry,48,bags,2026-02-17,730,2028-02-17,706,64,shortage
Feeding San Diego,San Diego,Canned salmon,canned,164,cans,2026-03-09,730,2028-03-08,726,64,balanced
Yolo Food Bank,Woodland,Almond butter,dry,369,jars,2026-02-20,365,2027-02-20,344,74,surplus
Central California Food Bank,Fresno,Canned carrots,canned,353,cans,2026-02-23,730,2028-02-23,712,96,surplus
Alameda County Community Food Bank,Oakland,Pasta,dry,331,boxes,2026-02-27,730,2028-02-27,716,72,surplus
Yolo Food Bank,Woodland,Bananas,produce,288,lbs,2026-03-07,7,2026-03-14,1,60,surplus
Second Harvest of Silicon Valley,San Jose,Canned corn,canned,21,cans,2026-02-18,730,2028-02-18,707,28,shortage
Yolo Food Bank,Woodland,Carrots fresh,produce,310,lbs,2026-03-07,21,2026-03-28,15,65,surplus
Second Harvest of Silicon Valley,San Jose,Milk gallons,dairy,342,gallons,2026-03-01,10,2026-03-11,-2,95,surplus
Yolo Food Bank,Woodland,Yogurt cups,dairy,119,cups,2026-03-13,21,2026-04-03,21,112,balanced
Second Harvest of Silicon Valley,San Jose,Macaroni,dry,158,boxes,2026-02-20,730,2028-02-20,709,83,balanced
Sacramento Food Bank & Family Services,Sacramento,Frozen vegetables mix,protein,205,bags,2026-02-21,365,2027-02-21,345,99,balanced
Sacramento Food Bank & Family Services,Sacramento,Potatoes,produce,175,lbs,2026-03-03,30,2026-04-02,20,71,balanced
Food Bank of Contra Costa and Solano,Concord,Onions,produce,36,lbs,2026-03-04,30,2026-04-03,21,26,balanced
Yolo Food Bank,Woodland,Onions,produce,157,lbs,2026-02-25,30,2026-03-27,14,52,surplus
Second Harvest Food Bank of Orange County,Irvine,Lentils,dry,195,bags,2026-03-01,730,2028-02-29,718,86,balanced
Los Angeles Regional Food Bank,Los Angeles,Canned tomatoes,canned,142,cans,2026-03-13,730,2028-03-12,730,59,balanced
Alameda County Community Food Bank,Oakland,Canned chickpeas,canned,288,cans,2026-02-18,730,2028-02-18,707,41,surplus
Second Harvest of Silicon Valley,San Jose,Almond butter,dry,128,jars,2026-02-19,365,2027-02-19,343,120,balanced
Second Harvest Food Bank of Orange County,Irvine,Butter,dairy,198,packs,2026-03-07,60,2026-05-06,54,51,surplus
Second Harvest Food Bank of Orange County,Irvine,Canned soup,canned,276,cans,2026-02-26,540,2027-08-20,525,46,surplus
Feeding San Diego,San Diego,Canned chickpeas,canned,172,cans,2026-02-19,730,2028-02-19,708,84,balanced
Central California Food Bank,Fresno,Canned peas,canned,34,cans,2026-03-05,730,2028-03-04,722,78,shortage
Central California Food Bank,Fresno,Potatoes,produce,194,lbs,2026-02-22,30,2026-03-24,11,112,balanced
Alameda County Community Food Bank,Oakland,Peanut butter,dry,175,jars,2026-02-26,365,2027-02-26,350,73,balanced
Second Harvest of Silicon Valley,San Jose,Canned tomatoes,canned,109,cans,2026-02-22,730,2028-02-22,711,87,balanced
Central California Food Bank,Fresno,Canned black beans,canned,329,cans,2026-02-22,730,2028-02-22,711,65,surplus
Yolo Food Bank,Woodland,Broccoli,produce,351,lbs,2026-03-11,7,2026-03-18,5,22,surplus
Sacramento Food Bank & Family Services,Sacramento,Egg cartons,dairy,12,cartons,2026-02-16,21,2026-03-09,-4,65,shortage
Second Harvest Food Bank of Orange County,Irvine,Cheese blocks,dairy,216,blocks,2026-03-10,30,2026-04-09,27,84,balanced
Second Harvest of Silicon Valley,San Jose,Pasta,dry,228,boxes,2026-03-02,730,2028-03-01,719,36,surplus
Central California Food Bank,Fresno,Milk gallons,dairy,335,gallons,2026-03-02,10,2026-03-12,-1,73,surplus
Sacramento Food Bank & Family Services,Sacramento,Canned tuna,canned,102,cans,2026-03-05,730,2028-03-04,722,116,shortage
Second Harvest of Silicon Valley,San Jose,Butter,dairy,321,packs,2026-03-08,60,2026-05-07,55,114,balanced
Feeding San Diego,San Diego,Potatoes,produce,179,lbs,2026-02-17,30,2026-03-19,6,44,surplus
San Francisco-Marin Food Bank,San Francisco,Oranges,produce,374,lbs,2026-03-05,14,2026-03-19,6,80,surplus
Food Bank of Contra Costa and Solano,Concord,Ground turkey frozen,protein,51,packs,2026-03-01,180,2026-08-28,168,68,shortage
Sacramento Food Bank & Family Services,Sacramento,Yogurt cups,dairy,235,cups,2026-03-08,21,2026-03-29,16,74,surplus
Los Angeles Regional Food Bank,Los Angeles,Cereal,dry,300,boxes,2026-03-05,180,2026-09-01,172,44,surplus
Second Harvest of Silicon Valley,San Jose,Frozen berries,protein,90,bags,2026-03-11,365,2027-03-11,363,59,balanced
Los Angeles Regional Food Bank,Los Angeles,Macaroni,dry,345,boxes,2026-03-09,730,2028-03-08,726,20,surplus
Los Angeles Regional Food Bank,Los Angeles,Peanut butter,dry,150,jars,2026-02-17,365,2027-02-17,341,71,balanced
San Francisco-Marin Food Bank,San Francisco,Oatmeal,dry,156,boxes,2026-03-06,365,2027-03-06,358,75,balanced
Central California Food Bank,Fresno,Rice 5lb bag,dry,152,bags,2026-03-02,730,2028-03-01,719,98,balanced
San Francisco-Marin Food Bank,San Francisco,Canned carrots,canned,355,cans,2026-03-12,730,2028-03-11,729,112,surplus
Second Harvest Food Bank of Orange County,Irvine,Sugar,dry,59,bags,2026-03-10,730,2028-03-09,727,113,shortage
Sacramento Food Bank & Family Services,Sacramento,Ground turkey frozen,protein,190,packs,2026-02-20,180,2026-08-19,159,69,balanced
Los Angeles Regional Food Bank,Los Angeles,Canned corn,canned,73,cans,2026-03-10,730,2028-03-09,727,39,balanced
San Francisco-Marin Food Bank,San Francisco,Tomatoes,produce,97,lbs,2026-02-28,10,2026-03-10,-3,91,balanced
San Francisco-Marin Food Bank,San Francisco,Sugar,dry,239,bags,2026-02-18,730,2028-02-18,707,62,surplus
Food Bank of Contra Costa and Solano,Concord,Canned salmon,canned,395,cans,2026-03-13,730,2028-03-12,730,87,surplus
Sacramento Food Bank & Family Services,Sacramento,Lettuce,produce,312,heads,2026-02-25,10,2026-03-07,-6,115,balanced
Feeding San Diego,San Diego,Oranges,produce,392,lbs,2026-03-13,14,2026-03-27,14,33,surplus
Feeding San Diego,San Diego,Butter,dairy,215,packs,2026-03-04,60,2026-05-03,51,46,surplus
Feeding San Diego,San Diego,Apples,produce,196,lbs,2026-02-17,21,2026-03-10,-3,33,surplus
Central California Food Bank,Fresno,Canned black beans,canned,101,cans,2026-02-17,730,2028-02-17,706,88,balanced
Feeding San Diego,San Diego,Frozen berries,protein,247,bags,2026-03-07,365,2027-03-07,359,50,surplus
Second Harvest of Silicon Valley,San Jose,Ground turkey frozen,protein,83,packs,2026-03-13,180,2026-09-09,180,116,shortage
Sacramento Food Bank & Family Services,Sacramento,Canned tomatoes,canned,245,cans,2026-02-26,730,2028-02-26,715,99,balanced
Second Harvest Food Bank of Orange County,Irvine,Lettuce,produce,19,heads,2026-03-13,10,2026-03-23,10,87,shortage
Feeding San Diego,San Diego,Almond butter,dry,29,jars,2026-02-20,365,2027-02-20,344,41,shortage
Feeding San Diego,San Diego,Canned soup,canned,365,cans,2026-02-27,540,2027-08-21,526,82,surplus
San Francisco-Marin Food Bank,San Francisco,Rice 5lb bag,dry,267,bags,2026-02-17,730,2028-02-17,706,40,surplus
San Francisco-Marin Food Bank,San Francisco,Peanut butter,dry,233,jars,2026-02-22,365,2027-02-22,346,95,balanced
Central California Food Bank,Fresno,Brown rice,dry,314,bags,2026-02-27,365,2027-02-27,351,70,surplus
Second Harvest of Silicon Valley,San Jose,Bananas,produce,298,lbs,2026-02-27,7,2026-03-06,-7,104,balanced
Central California Food Bank,Fresno,Canned beans,canned,163,cans,2026-03-09,730,2028-03-08,726,70,balanced
Yolo Food Bank,Woodland,Oatmeal,dry,180,boxes,2026-03-12,365,2027-03-12,364,113,balanced
Yolo Food Bank,Woodland,Egg cartons,dairy,62,cartons,2026-03-03,21,2026-03-24,11,86,shortage
Yolo Food Bank,Woodland,Canned beans,canned,24,cans,2026-03-01,730,2028-02-29,718,116,shortage
Feeding San Diego,San Diego,Bananas,produce,195,lbs,2026-02-17,7,2026-02-24,-17,63,surplus
Yolo Food Bank,Woodland,Peanut butter,dry,318,jars,2026-02-24,365,2027-02-24,348,94,surplus
San Francisco-Marin Food Bank,San Francisco,Peanut butter,dry,233,jars,2026-02-23,365,2027-02-23,347,110,balanced
San Francisco-Marin Food Bank,San Francisco,Macaroni,dry,71,boxes,2026-03-06,730,2028-03-05,723,92,shortage
Central California Food Bank,Fresno,Pasta,dry,188,boxes,2026-03-05,730,2028-03-04,722,120,balanced
Sacramento Food Bank & Family Services,Sacramento,Frozen berries,protein,249,bags,2026-02-26,365,2027-02-26,350,51,surplus
Second Harvest Food Bank of Orange County,Irvine,Cereal,dry,206,boxes,2026-03-06,180,2026-09-02,173,96,balanced
Food Bank of Contra Costa and Solano,Concord,Canned black beans,canned,222,cans,2026-02-28,730,2028-02-28,717,37,surplus
Second Harvest of Silicon Valley,San Jose,Ground turkey frozen,protein,210,packs,2026-03-05,180,2026-09-01,172,32,surplus
Los Angeles Regional Food Bank,Los Angeles,Almond butter,dry,87,jars,2026-02-24,365,2027-02-24,348,105,shortage
Feeding San Diego,San Diego,Cheese blocks,dairy,62,blocks,2026-03-06,30,2026-04-05,23,73,shortage
Sacramento Food Bank & Family Services,Sacramento,Oatmeal,dry,118,boxes,2026-02-22,365,2027-02-22,346,88,balanced
Sacramento Food Bank & Family Services,Sacramento,Carrots fresh,produce,14,lbs,2026-02-24,21,2026-03-17,4,103,shortage
San Francisco-Marin Food Bank,San Francisco,Frozen berries,protein,325,bags,2026-02-16,365,2027-02-16,340,44,surplus
Sacramento Food Bank & Family Services,Sacramento,Onions,produce,231,lbs,2026-02-26,30,2026-03-28,15,49,surplus
Sacramento Food Bank & Family Services,Sacramento,Tomatoes,produce,28,lbs,2026-03-10,10,2026-03-20,7,25,balanced
Food Bank of Contra Costa and Solano,Concord,Canned carrots,canned,136,cans,2026-03-12,730,2028-03-11,729,113,balanced
Alameda County Community Food Bank,Oakland,Canned soup,canned,387,cans,2026-02-24,540,2027-08-18,523,42,surplus
Feeding San Diego,San Diego,Canned black beans,canned,255,cans,2026-03-01,730,2028-02-29,718,50,surplus
Second Harvest Food Bank of Orange County,Irvine,Cheese blocks,dairy,100,blocks,2026-03-12,30,2026-04-11,29,102,shortage
Yolo Food Bank,Woodland,Butter,dairy,366,packs,2026-03-04,60,2026-05-03,51,32,surplus
Second Harvest Food Bank of Orange County,Irvine,Egg cartons,dairy,267,cartons,2026-02-21,21,2026-03-14,1,112,balanced
Los Angeles Regional Food Bank,Los Angeles,Canned chickpeas,canned,76,cans,2026-03-04,730,2028-03-03,721,104,shortage
Second Harvest of Silicon Valley,San Jose,Cereal,dry,30,boxes,2026-03-07,180,2026-09-03,174,45,shortage
Feeding San Diego,San Diego,Ground turkey frozen,protein,336,packs,2026-02-21,180,2026-08-20,160,43,surplus
Los Angeles Regional Food Bank,Los Angeles,Potatoes,produce,373,lbs,2026-03-09,30,2026-04-08,26,73,surplus
Central California Food Bank,Fresno,Canned green beans,canned,203,cans,2026-02-24,730,2028-02-24,713,56,surplus
Yolo Food Bank,Woodland,Canned tomatoes,canned,107,cans,2026-02-22,730,2028-02-22,711,94,balanced
San Francisco-Marin Food Bank,San Francisco,Rice 5lb bag,dry,284,bags,2026-03-02,730,2028-03-01,719,114,balanced
Second Harvest of Silicon Valley,San Jose,Chicken breast frozen,protein,378,packs,2026-03-13,180,2026-09-09,180,51,surplus
San Francisco-Marin Food Bank,San Francisco,Canned chickpeas,canned,222,cans,2026-03-13,730,2028-03-12,730,79,balanced
Los Angeles Regional Food Bank,Los Angeles,Broccoli,produce,179,lbs,2026-02-25,7,2026-03-04,-9,86,balanced
San Francisco-Marin Food Bank,San Francisco,Carrots fresh,produce,358,lbs,2026-03-03,21,2026-03-24,11,110,surplus
Feeding San Diego,San Diego,Milk gallons,dairy,173,gallons,2026-03-05,10,2026-03-15,2,88,balanced
Los Angeles Regional Food Bank,Los Angeles,Canned soup,canned,98,cans,2026-03-07,540,2027-08-29,534,36,balanced
Second Harvest of Silicon Valley,San Jose,Chicken breast frozen,protein,66,packs,2026-02-21,180,2026-08-20,160,46,balanced
Los Angeles Regional Food Bank,Los Angeles,Flour,dry,360,bags,2026-02-22,365,2027-02-22,346,98,surplus
Sacramento Food Bank & Family Services,Sacramento,Canned corn,canned,375,cans,2026-02-25,730,2028-02-25,714,103,surplus
Central California Food Bank,Fresno,Almond butter,dry,397,jars,2026-03-10,365,2027-03-10,362,106,surplus
Yolo Food Bank,Woodland,Canned peas,canned,374,cans,2026-03-05,730,2028-03-04,722,64,surplus
Alameda County Community Food Bank,Oakland,Canned black beans,canned,146,cans,2026-03-12,730,2028-03-11,729,78,balanced
Second Harvest Food Bank of Orange County,Irvine,Canned soup,canned,195,cans,2026-03-13,540,2027-09-04,540,59,surplus
Los Angeles Regional Food Bank,Los Angeles,Spaghetti,dry,286,boxes,2026-03-03,730,2028-03-02,720,79,surplus
Central California Food Bank,Fresno,Frozen berries,protein,324,bags,2026-03-13,365,2027-03-13,365,57,surplus
Los Angeles Regional Food Bank,Los Angeles,Canned tomatoes,canned,396,cans,2026-03-09,730,2028-03-08,726,22,surplus
Central California Food Bank,Fresno,Canned tomatoes,canned,274,cans,2026-02-21,730,2028-02-21,710,102,balanced
Yolo Food Bank,Woodland,Yogurt cups,dairy,287,cups,2026-03-04,21,2026-03-25,12,96,balanced
Los Angeles Regional Food Bank,Los Angeles,Bell peppers,produce,391,lbs,2026-03-10,10,2026-03-20,7,62,surplus
Sacramento Food Bank & Family Services,Sacramento,Frozen vegetables mix,protein,251,bags,2026-02-24,365,2027-02-24,348,113,balanced
Feeding San Diego,San Diego,Tomatoes,produce,150,lbs,2026-02-25,10,2026-03-07,-6,87,balanced
Central California Food Bank,Fresno,Chicken breast frozen,protein,325,packs,2026-02-19,180,2026-08-18,158,56,surplus
Alameda County Community Food Bank,Oakland,Avocados,produce,125,units,2026-02-21,7,2026-02-28,-13,89,balanced
Los Angeles Regional Food Bank,Los Angeles,Flour,dry,48,bags,2026-02-25,365,2027-02-25,349,76,shortage
Central California Food Bank,Fresno,Canned tomatoes,canned,361,cans,2026-02-18,730,2028-02-18,707,36,surplus
Food Bank of Contra Costa and Solano,Concord,Yogurt cups,dairy,193,cups,2026-02-19,21,2026-03-12,-1,103,balanced
Second Harvest of Silicon Valley,San Jose,Macaroni,dry,200,boxes,2026-02-22,730,2028-02-22,711,79,balanced
Los Angeles Regional Food Bank,Los Angeles,Canned carrots,canned,377,cans,2026-02-21,730,2028-02-21,710,60,surplus
Central California Food Bank,Fresno,Chicken breast frozen,protein,84,packs,2026-03-07,180,2026-09-03,174,32,balanced
Second Harvest of Silicon Valley,San Jose,Canned green beans,canned,332,cans,2026-02-17,730,2028-02-17,706,48,surplus
Sacramento Food Bank & Family Services,Sacramento,Flour,dry,201,bags,2026-03-01,365,2027-03-01,353,102,balanced
Alameda County Community Food Bank,Oakland,Tomatoes,produce,71,lbs,2026-02-25,10,2026-03-07,-6,25,balanced
Central California Food Bank,Fresno,Canned corn,canned,384,cans,2026-02-26,730,2028-02-26,715,36,surplus
Los Angeles Regional Food Bank,Los Angeles,Spaghetti,dry,250,boxes,2026-03-11,730,2028-03-10,728,104,balanced
Alameda County Community Food Bank,Oakland,Bananas,produce,201,lbs,2026-02-26,7,2026-03-05,-8,49,surplus
Central California Food Bank,Fresno,Canned green beans,canned,116,cans,2026-03-09,730,2028-03-08,726,48,balanced
Sacramento Food Bank & Family Services,Sacramento,Brown rice,dry,394,bags,2026-02-25,365,2027-02-25,349,56,surplus
Second Harvest of Silicon Valley,San Jose,Onions,produce,211,lbs,2026-02-22,30,2026-03-24,11,46,surplus
Los Angeles Regional Food Bank,Los Angeles,Carrots fresh,produce,118,lbs,2026-02-21,21,2026-03-14,1,67,balanced
Los Angeles Regional Food Bank,Los Angeles,Canned black beans,canned,266,cans,2026-03-10,730,2028-03-09,727,60,surplus
Alameda County Community Food Bank,Oakland,Sugar,dry,207,bags,2026-03-08,730,2028-03-07,725,84,balanced
Alameda County Community Food Bank,Oakland,Canned salmon,canned,211,cans,2026-02-23,730,2028-02-23,712,75,balanced
Los Angeles Regional Food Bank,Los Angeles,Canned carrots,canned,161,cans,2026-02-21,730,2028-02-21,710,99,balanced
Second Harvest Food Bank of Orange County,Irvine,Milk gallons,dairy,324,gallons,2026-02-28,10,2026-03-10,-3,83,surplus
Los Angeles Regional Food Bank,Los Angeles,Lettuce,produce,387,heads,2026-03-01,10,2026-03-11,-2,64,surplus
Food Bank of Contra Costa and Solano,Concord,Rice 5lb bag,dry,41,bags,2026-03-04,730,2028-03-03,721,78,shortage
Food Bank of Contra Costa and Solano,Concord,Bell peppers,produce,192,lbs,2026-03-03,10,2026-03-13,0,74,balanced
Los Angeles Regional Food Bank,Los Angeles,Carrots fresh,produce,171,lbs,2026-02-21,21,2026-03-14,1,74,balanced
San Francisco-Marin Food Bank,San Francisco,Ground turkey frozen,protein,277,packs,2026-02-20,180,2026-08-19,159,95,balanced
Second Harvest of Silicon Valley,San Jose,Canned green beans,canned,203,cans,2026-02-16,730,2028-02-16,705,116,balanced
Yolo Food Bank,Woodland,Canned salmon,canned,277,cans,2026-02-24,730,2028-02-24,713,70,surplus
Yolo Food Bank,Woodland,Lettuce,produce,283,heads,2026-02-25,10,2026-03-07,-6,50,surplus
Yolo Food Bank,Woodland,Milk gallons,dairy,289,gallons,2026-03-05,10,2026-03-15,2,115,balanced
Food Bank of Contra Costa and Solano,Concord,Frozen berries,protein,202,bags,2026-02-17,365,2027-02-17,341,116,balanced
Central California Food Bank,Fresno,Spaghetti,dry,76,boxes,2026-03-05,730,2028-03-04,722,70,balanced
Feeding San Diego,San Diego,Cheese blocks,dairy,198,blocks,2026-03-08,30,2026-04-07,25,103,balanced
Yolo Food Bank,Woodland,Yogurt cups,dairy,118,cups,2026-03-03,21,2026-03-24,11,20,surplus
Second Harvest of Silicon Valley,San Jose,Frozen berries,protein,199,bags,2026-02-19,365,2027-02-19,343,67,balanced
Second Harvest Food Bank of Orange County,Irvine,Chicken breast frozen,protein,64,packs,2026-03-03,180,2026-08-30,170,68,shortage
Feeding San Diego,San Diego,Oranges,produce,191,lbs,2026-03-04,14,2026-03-18,5,86,balanced
Food Bank of Contra Costa and Solano,Concord,Ground turkey frozen,protein,357,packs,2026-02-19,180,2026-08-18,158,46,surplus
Food Bank of Contra Costa and Solano,Concord,Bell peppers,produce,65,lbs,2026-03-02,10,2026-03-12,-1,61,balanced
Second Harvest of Silicon Valley,San Jose,Brown rice,dry,236,bags,2026-02-22,365,2027-02-22,346,32,surplus
Second Harvest Food Bank of Orange County,Irvine,Oatmeal,dry,268,boxes,2026-03-04,365,2027-03-04,356,67,surplus
Yolo Food Bank,Woodland,Canned corn,canned,376,cans,2026-02-21,730,2028-02-21,710,61,surplus
San Francisco-Marin Food Bank,San Francisco,Apples,produce,316,lbs,2026-03-05,21,2026-03-26,13,44,surplus
Alameda County Community Food Bank,Oakland,Butter,dairy,350,packs,2026-03-07,60,2026-05-06,54,116,surplus
Feeding San Diego,San Diego,Spinach,produce,296,bags,2026-02-19,7,2026-02-26,-15,95,surplus
San Francisco-Marin Food Bank,San Francisco,Macaroni,dry,260,boxes,2026-03-12,730,2028-03-11,729,33,surplus
Los Angeles Regional Food Bank,Los Angeles,Bananas,produce,394,lbs,2026-02-27,7,2026-03-06,-7,109,surplus
Second Harvest Food Bank of Orange County,Irvine,Canned peas,canned,136,cans,2026-03-03,730,2028-03-02,720,47,balanced
Food Bank of Contra Costa and Solano,Concord,Macaroni,dry,204,boxes,2026-02-26,730,2028-02-26,715,68,balanced
Yolo Food Bank,Woodland,Sugar,dry,328,bags,2026-03-01,730,2028-02-29,718,99,surplus
San Francisco-Marin Food Bank,San Francisco,Rice 5lb bag,dry,291,bags,2026-02-24,730,2028-02-24,713,77,surplus
Feeding San Diego,San Diego,Frozen berries,protein,196,bags,2026-02-22,365,2027-02-22,346,109,balanced
Central California Food Bank,Fresno,Spaghetti,dry,248,boxes,2026-03-08,730,2028-03-07,725,52,surplus
Yolo Food Bank,Woodland,Milk gallons,dairy,173,gallons,2026-03-02,10,2026-03-12,-1,96,balanced
San Francisco-Marin Food Bank,San Francisco,Peanut butter,dry,243,jars,2026-02-20,365,2027-02-20,344,58,surplus
Central California Food Bank,Fresno,Canned black beans,canned,162,cans,2026-03-01,730,2028-02-29,718,72,balanced
Yolo Food Bank,Woodland,Ground turkey frozen,protein,323,packs,2026-03-07,180,2026-09-03,174,45,surplus
Second Harvest of Silicon Valley,San Jose,Broccoli,produce,94,lbs,2026-03-05,7,2026-03-12,-1,50,balanced
Yolo Food Bank,Woodland,Onions,produce,287,lbs,2026-03-10,30,2026-04-09,27,31,surplus
Alameda County Community Food Bank,Oakland,Canned corn,canned,362,cans,2026-02-16,730,2028-02-16,705,29,surplus
Sacramento Food Bank & Family Services,Sacramento,Canned salmon,canned,298,cans,2026-03-05,730,2028-03-04,722,81,surplus
Sacramento Food Bank & Family Services,Sacramento,Flour,dry,118,bags,2026-03-10,365,2027-03-10,362,91,balanced
Second Harvest of Silicon Valley,San Jose,Pasta,dry,319,boxes,2026-03-11,730,2028-03-10,728,79,surplus
Los Angeles Regional Food Bank,Los Angeles,Apples,produce,385,lbs,2026-02-25,21,2026-03-18,5,36,surplus
Central California Food Bank,Fresno,Tomatoes,produce,98,lbs,2026-02-18,10,2026-02-28,-13,71,balanced
Central California Food Bank,Fresno,Bell peppers,produce,16,lbs,2026-02-20,10,2026-03-02,-11,70,shortage
Second Harvest Food Bank of Orange County,Irvine,Egg cartons,dairy,240,cartons,2026-02-17,21,2026-03-10,-3,79,surplus
